Vzorek,Plesne,Certovo,horizont,znaceni,cas,ID,CPcr,Dwpuvodni,DWovlhceni,pH,DOC,TN,DOC2,TN2,Cmic,Nmic,Pmic,CCO2,CCO2c,deltaCO2,CO2atm,CCO2.s,CCO2.g,CCO2.g2,Gl,Glcorrected,DOCatm,Cmicatm,Cmicg,CUE,Cmicg2,DOCg,DOCg2,Glfound,NH4,NO3,PO4,DOP,DON,NH42,NO32,DON2,PO42,BG,CELL,PH,ALA,CHIT,PHO,PER,bg,cell,phos,ala,chit,Sorption
36,1,0.0,A,NE,0,6,73.831684227,0.345600000,0.311351351,2.730000000,29.690615170,2.834802398,49.317240405,5.011883873,151.384260008,17.789872313,12.194735230,19.668445039,,,,,,,0.000000000,0.000000000,0.010776999,0.010803616,,0.457553049,,,,,0.214578872,0.122878499,0.032460289,0.042893972,2.497345026,0.522386457,0.213661869,4.275835547,0.477003321,0.035013895,0.004956111,0.013768693,0.021071149,0.001876592,0.086583686,0.361436550,0.438413266,0.035766741,0.941090737,0.000000000,0.233050706,0.508710262
37,0.75,0.3,A,NE,0,7,69.834367248,0.350407349,0.315682296,2.690000000,29.362407849,2.863742579,47.894070442,4.790276757,172.559028853,20.249127975,8.242379753,18.092545769,,,,,,,0.000000000,0.000000000,0.010776977,0.010807662,,0.375657545,,,,,0.347750668,0.129332498,0.033549219,0.038579356,2.386659412,0.592095632,0.233341150,3.964839974,0.414004062,0.017261826,0.006354675,0.008741976,0.026316891,0.001964574,0.097082363,0.598076230,0.420685790,0.066134035,0.593760331,0.002722819,0.132467321,0.661994933
38,0.5,0.5,A,NE,0,8,65.837050269,0.355214698,0.320013242,2.650000000,20.774275665,1.960237408,45.436310211,4.466713811,120.795438317,14.104519853,5.406768749,15.837189438,,,,,,,0.000000000,0.000000000,0.010777496,0.010813415,,0.369168009,,,,,0.403266682,0.150109777,0.018969186,0.028568329,1.406860949,0.664378884,0.236874566,3.565460361,0.256516380,0.077115525,0.013158718,0.013729570,0.022788482,0.001596513,0.129298769,1.148166908,0.882501384,0.155590263,0.877562011,0.000000000,0.136655998,0.740827050
39,0.25,0.8,A,NE,0,9,61.839733290,0.360022047,0.324344187,2.610000000,30.554963325,2.721243647,44.227549016,4.225734544,103.693773259,12.530638733,8.507707868,12.137269832,,,,,,,0.000000000,0.000000000,0.010777803,0.010808899,,0.376869108,,,,,0.501313576,0.202462024,0.029467574,0.028073838,2.017468047,0.712725008,0.323499103,3.189510433,0.178162838,0.039181086,0.018524979,0.012459321,0.022373702,0.001703972,0.137088119,1.349916560,1.058886636,0.273526519,0.945469015,0.006653410,0.160687007,0.429878145
40,0,1.0,A,NE,0,10,57.842416311,0.364829396,0.328675132,2.570000000,28.556349283,2.733162749,41.360469731,4.173526813,93.857914021,9.981891270,3.907956486,10.171198690,,,,,,,0.000000000,0.000000000,0.010778959,0.010833208,,0.339361982,,,,,0.566373084,0.245399381,0.027605669,0.022857647,1.921390284,0.764140372,0.383517970,3.025868470,0.200462180,0.024977718,0.008692040,0.009850600,0.020701060,0.001025384,0.144011942,1.663436831,0.560943372,0.073282711,0.613074646,0.000000000,0.059342432,0.609440189
41,1,0.0,O,JO,0,11,73.831684227,0.405213270,0.332142025,3.370000000,66.713783991,4.428138473,88.033645692,7.913077326,358.083496715,45.653526345,5.489921751,43.570885798,,,,,,,287.473250713,206.822630226,0.010771117,0.010784256,,0.675270353,,,,,1.925081383,0.232092866,0.036747413,0.039222960,2.270964224,2.587119120,0.309886956,5.016071250,0.525192067,0.035681084,0.009638274,0.028871171,0.043362669,0.001372788,0.072960404,0.093069906,0.752883955,0.100772364,1.779010126,0.044809340,0.185219152,1.025498583
42,0.75,0.3,O,JO,0,12,69.834367248,0.390866474,0.320382356,3.322500000,60.898040789,6.252677910,82.764044578,10.048218599,279.157498527,35.842255515,5.556740521,46.486572991,,,,,,,298.024987165,212.935128017,0.010779530,0.010780733,,0.591520112,,,,,3.238902975,0.209421433,0.025599054,0.029327359,2.804353501,3.800479173,0.303883867,5.943855559,0.559640269,0.027228666,0.005826696,0.020274492,0.038688912,0.001847710,0.084218307,0.117484171,0.588424842,0.117501115,1.255177190,0.037931466,0.263819910,0.994841649
43,0.5,0.5,O,JO,0,13,65.837050269,0.376519679,0.308622687,3.275000000,59.009725998,7.552493391,83.986767499,10.384837417,275.581357941,37.207978344,6.640241111,46.977972700,,,,,,,309.380844180,219.513443467,0.010780099,0.010786947,,0.593668352,,,,,5.004389827,0.167676431,0.029190071,0.110271250,2.380427133,5.258949633,0.286321962,4.839565822,0.659709845,0.019028993,0.005089344,0.022093883,0.035752492,0.001813430,0.099303079,0.126492282,0.450401049,0.046556879,1.492657486,0.034174040,0.253084979,0.806520481
44,0.25,0.8,O,JO,0,14,61.839733290,0.362172883,0.296863019,3.227500000,50.997596978,9.157257508,93.494310640,14.672097456,252.417001469,33.459556913,5.323702745,48.878774221,,,,,,,321.636382919,226.612934040,0.010774631,0.010787959,,0.554015883,,,,,6.116299287,0.190908941,0.036981252,0.045956084,2.850049280,7.871667725,0.294778793,6.505650938,0.718588827,0.023413839,0.003745405,0.029116620,0.023410186,0.002144950,0.108678850,0.110547026,0.613019953,0.062107689,2.247551558,0.057015532,0.358492307,0.990462087
45,0,1.0,O,JO,0,15,57.842416311,0.347826087,0.285103350,3.180000000,53.889627186,9.547485100,89.485777958,15.407463597,222.748207530,30.904054247,5.074633222,50.349351935,,,,,,,334.902931000,234.298090528,0.010774763,0.010790710,,0.519333947,,,,,7.470148822,0.154219843,0.041337988,0.039700701,1.923116435,8.897349988,0.270886153,6.239227457,0.725497495,0.018400595,0.004531896,0.019268228,0.022976316,0.001769918,0.112062051,0.080515530,0.451173471,0.033476825,1.428366387,0.013869311,0.283900782,1.104330700
