Time,CO2,Gl,DNA,CLC,Glinit,DNAinit,CLCinit,DOCinit
154.43,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
155.45,0.06190628,,,,49.95836803,1.0616153,5.166425,2.06657
156.97,0.06190628,,,,49.95836803,1.0616153,5.166425,2.06657
158.25,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
159.01,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
160.29,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
161.31,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
163.6,0.06190628,,,,49.95836803,1.0616153,5.166425,2.06657
164.87,0.04642971,,,,49.95836803,1.0616153,5.166425,2.06657
166.65,0.04642971,,,,49.95836803,1.0616153,5.166425,2.06657
168.95,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
170.73,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
172.52,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
174.3,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
176.34,0.04642971,,,,49.95836803,1.0616153,5.166425,2.06657
177.87,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
179.14,0.04642971,,,,49.95836803,1.0616153,5.166425,2.06657
180.92,0.038691425,,,,49.95836803,1.0616153,5.166425,2.06657
182.96,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
186.27,0.054167995,,,,49.95836803,1.0616153,5.166425,2.06657
188.31,0.04642971,,,,49.95836803,1.0616153,5.166425,2.06657
192.13,0.04642971,,,,49.95836803,1.0616153,5.166425,2.06657
194.42,0.03095314,,,,49.95836803,1.0616153,5.166425,2.06657
196.46,0.038691425,,,,49.95836803,1.0616153,5.166425,2.06657
199.26,0.03095314,,,,49.95836803,1.0616153,5.166425,2.06657
202.58,0.04642971,,,,49.95836803,1.0616153,5.166425,2.06657
206.4,0.04642971,,,,49.95836803,1.0616153,5.166425,2.06657
209.96,0.03095314,,,,49.95836803,1.0616153,5.166425,2.06657
213.28,0.03095314,,,,49.95836803,1.0616153,5.166425,2.06657
215.83,0.04642971,,1.5223163,8.181180561,49.95836803,1.0616153,5.166425,2.06657
219.39,0.038691425,,,,49.95836803,1.0616153,5.166425,2.06657
220.16,0.03095314,,,,49.95836803,1.0616153,5.166425,2.06657
